objectid,filename,title,format,subject,creator,date,description,,location,latitude,longitude,source,identifier,type,youtubeid,language,rights,rightsstatement,polaridad,tipologia,soporte,iluminacion,tono,proceso
demo_006,demo_006.jpg,Ferrotipo,image/jpeg,Ferrotipo; Afroamericano; Siglo XIX,Anónimo,Circa 1870-1880,"Retrato de estudio de un hombre afroamericano de finales del siglo XIX, capturado mediante la técnica del ferrotipo. El sujeto viste una camisa blanca de pechera plisada y una chaqueta oscura, posando contra un fondo de cortinajes, una composición típica de los estudios fotográficos populares de la época de la Reconstrucción en Estados Unidos. La expresión es digna y serena, reflejando el auge de la autorrepresentación fotográfica entre la población afroamericana tras la Guerra de Secesión.",,Estados Unidos (Probablemente región del Atlántico Medio),38.8951,-77.0364,Archivo Histórico Vision,9blbkr,Image;StillImage,,es,,http://rightsstatements.org/vocab/NoC-US/1.0/,Positivo,Impresión,Película,Transmisión,Monocromático,Colodión húmedo
demo_007,demo_007.jpg,Ferrotipo,image/jpeg,Ferrotipo; Cultura Afroamericana; Moda victoriana,Anónimo,1880-1890,"Retrato de estudio de un hombre afroamericano de pie, apoyado en un pedestal con una planta en maceta, vistiendo un traje formal de tres piezas y un sombrero tipo hongo (bowler). La imagen es un ejemplo destacado de la autorrepresentación y la búsqueda de respetabilidad de la comunidad afroamericana durante las décadas posteriores a la Guerra de Secesión en Estados Unidos.",,Noreste de Estados Unidos (probablemente Philadelphia o New York),39.9526,-75.1652,Archivo Histórico Vision,8n12lc,Image;StillImage,,es,,http://rightsstatements.org/vocab/NoC-US/1.0/,Negativo,Negativo,Vidrio,Transmisión,Monocromático,Colodión húmedo
demo_008,demo_008.jpg,Daguerrotipo,image/jpeg,Daguerrotipo; Moda victoriana; Retrato infantil,Anónimo,Hacia 1850-1855,"Un retrato de estudio de mediados del siglo XIX que muestra a una niña sentada, capturada mediante el proceso de daguerrotipo. La niña viste un vestido de cuadros con escote amplio y mangas cortas, típico de la moda infantil de la época, y se encuentra enmarcada en un estuche protector de cuero con un tapete de latón dorado y un forro interno de seda o terciopelo rojo.",,Estados Unidos (probablemente Nueva York o Boston),40.7128,-74.006,Archivo Histórico Vision,d26ayp,Image;StillImage,,es,,http://rightsstatements.org/vocab/NoC-US/1.0/,Positivo,Impresión,Metal,Reflexión,Monocromático,Daguerrotipo
demo_009,demo_009.jpg,Millard Fillmore,image/jpeg,Millard Fillmore; Daguerrotipo; Retrato Presidencial,Estudio de Mathew Brady,circa 1850,"Retrato de estudio en formato daguerrotipo de Millard Fillmore, el decimotercer presidente de los Estados Unidos, posando junto a su primera esposa, Abigail Powers Fillmore. La pareja está capturada en una pose formal típica de mediados del siglo XIX, con Abigail colocando su mano sobre el hombro de su esposo, un gesto de afecto común en los retratos matrimoniales de la época.",,"Washington D.C., Estados Unidos",38.897667,-77.03655,Archivo Histórico Vision,vt2b5v,Image;StillImage,,es,,http://rightsstatements.org/vocab/NoC-US/1.0/,Positivo,Impresión,Metal,Reflexión,Policromático,Daguerrotipo
demo_010,demo_010.jpg,Daguerrotipo,image/jpeg,Daguerrotipo; Retrato decimonónico; Moda masculina victoriana,Anónimo (Atribuido a un estudio profesional),Hacia 1850,"Retrato de estudio de medio cuerpo que muestra a un joven con vestimenta formal de mediados del siglo XIX. El sujeto presenta un peinado romántico con volumen lateral, vistiendo una chaqueta oscura sobre un chaleco con una cadena de reloj visible y un lazo de cuello estrecho. La imagen está contenida en un marco elíptico dentro de un paspartú de latón dorado ornamentado, característico de los estuches de daguerrotipos de la época.",,Noreste de los Estados Unidos (probablemente Boston o Nueva York),40.712776,-74.005974,Archivo Histórico Vision,s3h2k4,Image;StillImage,,es,,http://rightsstatements.org/vocab/NoC-US/1.0/,Negativo,Negativo,Metal,Transmisión,Monocromático,Daguerrotipo
demo_011,demo_011.jpg,Daguerrotipo,image/jpeg,Daguerrotipo; Retrato de estudio; Moda victoriana,Anónimo,Hacia 1850-1855,"Retrato de medio cuerpo de un hombre de mediana edad que utiliza gafas de montura circular y luce una barba de estilo Shenandoah (sin bigote). El sujeto viste un atuendo formal compuesto por una chaqueta oscura, chaleco y un lazo ancho al cuello. La imagen se presenta en un estuche de apertura lateral típico de la época, con un forro de terciopelo rojo gofrado que muestra un elaborado diseño de pavo real y motivos florales.",,Estados Unidos (Probablemente Nueva York o Massachusetts),40.7128,-74.006,Archivo Histórico Vision,tr6yk5,Image;StillImage,,es,,http://rightsstatements.org/vocab/NoC-US/1.0/,Positivo,Impresión,Vidrio,Transmisión,Monocromático,Daguerrotipo
demo_012,demo_012.jpg,Daguerrotipo,image/jpeg,Daguerrotipo; Interior doméstico; Siglo XIX,Josiah Johnson Hawes,1850,"Vista interior de una estancia doméstica de mediados del siglo XIX capturada mediante la técnica del daguerrotipo. La escena muestra una cómoda con libros y una lámpara, una mesa lateral con mantel blanco, sillas de madera y un retrato de Benjamin Franklin colgado en la pared, lo que refleja el gusto estético y la cultura material de la clase media estadounidense de la época.",,"Boston, Massachusetts",42.3601,-71.0589,Archivo Histórico Vision,8g5xx,Image;StillImage,,es,,http://rightsstatements.org/vocab/NoC-US/1.0/,Positivo,Impresión,Metal,Reflexión,Monocromático,Daguerrotipo
demo_013,demo_013.jpg,Daguerrotipo,image/jpeg,Daguerrotipo; Moda Victoriana; Retrato familiar,Anónimo (Estudio fotográfico estadounidense),hacia 1850,"Retrato de estudio de medio cuerpo de un hombre adulto no identificado junto a un niño/a pequeño, capturado mediante la técnica del daguerrotipo. La imagen presenta una coloración manual aplicada posteriormente (colorete) en las mejillas de ambos sujetos para proporcionar una apariencia más saludable y realista, así como un sutil realce de pigmento dorado en el collar del niño, una práctica común en la retratística de mediados del siglo XIX.",,Noreste de Estados Unidos (Probablemente Nueva York o Boston),40.712776,-74.005974,Archivo Histórico Vision,z2rq3q,Image;StillImage,,es,,http://rightsstatements.org/vocab/NoC-US/1.0/,Positivo,Impresión,Metal,Reflexión,Monocromático,Daguerrotipo
demo_014,demo_014.jpg,Daguerrotipo,image/jpeg,Daguerrotipo; Moda victoriana; Retrato infantil,Anónimo,1855 aprox.,"Retrato de estudio de un infante de la época victoriana media, presentado en un estuche decorativo. El sujeto viste una túnica de patrón a cuadros (plaid) con cintas en los hombros, prenda característica de la vestimenta infantil de mediados del siglo XIX que no distinguía géneros a edades tempranas. La imagen muestra un sutil retoque manual con pigmento rosa en las mejillas.",,Noreste de los Estados Unidos (Nueva York o Filadelfia),40.7128,-74.006,Archivo Histórico Vision,k8y2p9,Image;StillImage,,es,,http://rightsstatements.org/vocab/NoC-US/1.0/,Positivo,Impresión,Metal,Reflexión,Monocromático,Daguerrotipo
demo_015,demo_015.jpg,Daguerrotipo,image/jpeg,Daguerrotipo; Revolución Industrial; Arquitectura fabril,Anónimo,c. 1850,"Un daguerrotipo del siglo XIX que captura una escena industrial temprana, destacando una chimenea de ladrillo o piedra de gran altura en el centro de la composición. La estructura está rodeada por edificios de fábricas o molinos construidos en piedra y madera, típicos de la Revolución Industrial. En la base de la chimenea se distingue un grupo de trabajadores y andamios, lo que sugiere que la planta podría estar en proceso de construcción o expansión.",,Noreste de Estados Unidos (posiblemente Massachusetts o Pensilvania),42.3601,-71.0589,Archivo Histórico Vision,fz1zbw,Image;StillImage,,es,,http://rightsstatements.org/vocab/NoC-US/1.0/,Negativo,Negativo,Metal,Transmisión,Monocromático,Daguerrotipo
